className,loc,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity,type
org.apache.xerces.validators.schema.SchemaGrammar,962,45,2,0,13,63,862,3,10,16,0.896780303,0.875,6,0.463414634,0.119298246,1,5,19.84444444,5,1.5556,1,0.002079002079002,NON
org.apache.xerces.validators.datatype.IDREFDatatypeValidator,253,11,2,0,8,38,35,1,7,7,0.833333333,0.666666667,2,0.307692308,0.232323232,0,0,21.18181818,6,1.2727,1,0.0079051383399209,NON
org.apache.xerces.dom.ElementNSImpl,192,6,3,1,3,21,3,2,2,4,0.9,0.5,0,0.947368421,0.611111111,3,3,30.33333333,3,1.3333,1,0.0052083333333333,NON
org.apache.html.dom.HTMLBodyElementImpl,72,13,4,0,2,16,78,1,2,13,2.0,0.0,0,0.886792453,0.538461538,0,0,4.538461538,1,0.9231,0,0.0,IL
org.apache.xerces.dom.NamedNodeMapImpl,596,22,1,1,8,49,41,6,2,9,0.843537415,0.857142857,1,0.0,0.2272727269999999,0,0,25.77272727,11,2.4545,0,0.0,NON
org.apache.xml.serialize.SieveEncodingInfo,159,3,2,0,3,12,1,1,2,3,0.0,0.0,1,0.75,0.8888888890000001,0,0,51.0,9,3.0,0,0.0,NON
org.apache.html.dom.HTMLObjectElementImpl,200,35,4,0,3,43,595,0,3,35,2.0,0.0,0,0.734375,0.308571429,0,0,4.714285714,1,0.9714,0,0.0,IL
org.apache.xerces.validators.common.XMLElementDecl,132,6,1,0,9,14,3,7,2,6,0.728571429,0.0,2,0.0,0.5,1,1,18.66666667,1,0.6667,0,0.0,NON
org.apache.html.dom.HTMLOListElementImpl,42,7,4,0,2,14,21,0,2,7,2.0,0.0,0,0.94,0.342857143,0,0,5.0,1,0.8571,0,0.0,IL
org.apache.xerces.validators.schema.XUtil,527,15,1,0,5,51,105,3,2,14,2.0,0.0,0,0.0,0.4,0,0,34.13333333,5,3.8,0,0.0,NON
org.apache.html.dom.HTMLIsIndexElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.framework.XMLParser,1257,53,1,2,21,126,740,2,19,22,0.908216783,1.0,11,0.0,0.106971154,0,0,22.30188679,3,1.0189,1,0.0023866348448687,NON
org.apache.xerces.validators.datatype.ListDatatypeValidator,745,10,2,0,10,40,15,2,8,7,0.577777778,0.9,2,0.333333333,0.275,0,0,72.5,4,1.1,0,0.0,NON
org.apache.html.dom.HTMLHeadingElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.schema.TraverseSchema,10701,81,1,0,37,257,1504,3,36,9,0.788671875,0.96875,10,0.0,0.135526316,0,0,130.7160494,25,1.5432,1,0.0028034763106251,NON
org.apache.xerces.readers.StringReader,2603,30,2,0,11,64,0,1,10,22,0.522988506,0.833333333,3,0.2,0.201149425,1,2,85.36666667,4,1.3,0,0.0,NON
org.apache.html.dom.HTMLTableElementImpl,471,36,4,0,6,58,630,1,6,35,1.0,1.0,2,0.728682171,0.214285714,0,0,12.02777778,7,2.0,0,0.0,IL
org.apache.html.dom.HTMLFrameElementImpl,96,17,4,0,2,23,136,0,2,17,2.0,0.0,0,0.854545455,0.397058824,0,0,4.647058824,1,0.9412,0,0.0,IL
org.apache.xerces.dom.DocumentImpl,1475,65,4,3,51,167,1798,47,24,49,0.931490385,0.923076923,2,0.568345324,0.1375,2,19,21.49230769,23,2.0,1,0.0040677966101694,NAN
org.apache.xerces.dom.AttrNSImpl,240,6,3,1,3,21,3,2,2,4,0.96,0.4,0,0.9375,0.611111111,3,3,38.16666667,3,1.3333,1,0.0041666666666666,NON
org.apache.xerces.dom.DeferredAttrImpl,60,4,3,0,5,14,0,1,5,1,0.666666667,0.5,0,0.952380952,0.5,2,7,13.5,2,1.0,1,0.0333333333333333,NON
org.apache.html.dom.HTMLAreaElementImpl,123,17,4,0,2,27,136,0,2,17,2.0,0.0,0,0.854545455,0.317647059,0,0,6.235294118,3,1.1765,0,0.0,IL
org.apache.html.dom.HTMLStyleElementImpl,39,7,4,0,2,12,21,0,2,7,2.0,0.0,0,0.94,0.428571429,0,0,4.571428571,1,0.8571,0,0.0,IL
org.apache.xerces.readers.UCSReader,2714,31,2,0,15,60,0,1,14,24,0.81372549,0.647058824,3,0.194444444,0.1888888889999999,1,4,86.0,5,1.2581,0,0.0,NON
org.apache.xerces.framework.XMLAttrList,1224,30,1,0,10,38,0,8,2,29,0.816696915,1.0,2,0.0,0.333333333,0,0,39.16666667,6,2.8667,1,0.0016339869281045,NON
org.apache.xerces.jaxp.SAXParserFactoryImpl,39,4,2,0,1,12,6,0,1,4,2.0,0.0,0,0.8125,0.583333333,0,0,8.75,1,0.75,1,0.0512820512820512,NON
org.apache.html.dom.HTMLDivElementImpl,19,3,4,0,2,7,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,0,0.0,IL
org.apache.xerces.utils.HexBin,194,7,1,0,1,9,13,1,0,4,0.875,1.0,0,0.0,0.25,0,0,26.14285714,4,1.5714,0,0.0,NON
org.apache.xerces.dom.AttributeMap,760,11,2,0,7,49,25,1,7,5,2.0,0.0,0,0.545454545,0.324675325,1,9,68.09090909,13,3.1818,1,0.0026315789473684,NON
javax.xml.parsers.DocumentBuilder,99,11,1,1,0,21,55,0,0,10,2.0,0.0,0,0.0,0.2467532469999999,0,0,8.0,1,0.9091,1,0.0202020202020202,NON
org.apache.xerces.dom.RangeImpl,2660,55,1,0,3,99,473,1,3,26,0.7989417990000001,0.0,7,0.0,0.246464646,0,0,47.10909091,20,3.8182,0,0.0,IL
org.apache.xerces.dom.DeferredAttrNSImpl,117,4,4,0,5,19,0,1,5,1,0.666666667,0.5,0,0.955223881,0.5,4,9,27.75,7,2.25,1,0.0256410256410256,NON
org.apache.xerces.framework.XMLContentSpec,827,12,1,0,9,19,24,8,2,11,0.924242424,0.0,0,0.0,0.291666667,1,1,66.41666667,26,4.9167,0,0.0,NON
org.apache.xerces.validators.schema.identity.KeyRef,16,3,2,0,5,4,1,4,1,3,0.5,1.0,0,0.8,0.666666667,0,0,4.0,1,0.6667,0,0.0,NON
org.apache.html.dom.HTMLAnchorElementImpl,171,27,4,0,2,35,351,0,2,27,2.0,0.0,0,0.783333333,0.37962963,0,0,5.333333333,3,1.1111,0,0.0,IL
org.apache.wml.dom.WMLDocumentImpl,580,4,3,0,39,23,4,37,3,2,0.982905983,0.0512820509999999,0,0.977777778,0.5555555560000001,1,1,134.25,1,0.5,0,0.0,IL
org.w3c.dom.events.MutationEvent,9,6,1,0,0,6,15,0,0,6,1.2,0.0,0,0.0,0.333333333,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.datatype.ENTITYDatatypeValidator,134,7,2,0,8,21,17,1,7,6,0.791666667,0.75,3,0.444444444,0.333333333,0,0,17.57142857,1,0.7143,1,0.0074626865671641,NON
org.apache.xerces.validators.schema.identity.IdentityConstraint,116,9,1,3,14,14,28,14,2,8,0.982142857,0.571428571,2,0.0,0.288888889,0,0,11.11111111,3,1.1111,1,0.0086206896551724,NON
org.apache.xerces.validators.datatype.DoubleDatatypeValidator,895,11,2,0,9,37,45,3,6,6,0.666666667,1.0,3,0.307692308,0.214876033,0,0,79.0,1,0.8182,0,0.0,NON
org.apache.xerces.validators.common.SimpleContentModel,1019,7,1,0,7,13,5,1,6,7,0.366666667,1.0,3,0.0,0.387755102,0,0,143.8571429,1,0.7143,0,0.0,NON
org.apache.html.dom.HTMLModElementImpl,28,5,4,0,2,8,10,0,2,5,2.0,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8,0,0.0,IL
org.w3c.dom.ranges.Range,28,24,1,0,0,24,276,0,0,24,1.043478261,0.0,0,0.0,0.270833333,0,0,0.0,1,1.0,0,0.0,NON
org.apache.html.dom.HTMLHtmlElementImpl,19,3,4,0,2,7,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,0,0.0,IL
org.w3c.dom.traversal.TreeWalker,13,13,1,0,0,13,78,0,0,13,2.0,0.0,0,0.0,0.538461538,0,0,0.0,1,1.0,0,0.0,IL
org.apache.xerces.validators.common.Grammar,2503,39,1,2,28,83,607,9,19,13,0.902046784,1.0,9,0.0,0.144230769,0,0,62.25641026,13,2.3333,0,0.0,NON
org.apache.xerces.parsers.SAXParser,1409,49,2,1,10,124,608,2,8,41,0.9,1.0,6,0.737142857,0.131944444,2,9,27.55102041,3,1.0408,1,0.0007097232079489,NON
org.apache.xerces.validators.common.CMUniOp,55,5,2,0,5,12,0,2,3,1,0.0,1.0,1,0.666666667,0.45,1,2,9.8,1,0.8,0,0.0,NON
org.apache.xerces.dom.NodeImpl,1158,69,1,3,23,112,1936,20,8,36,0.971362229,0.894736842,1,0.0,0.118171683,0,0,15.50724638,31,2.3043,0,0.0,NON
org.apache.html.dom.HTMLHeadElementImpl,17,3,4,0,2,6,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.schema.identity.XPathException,9,2,3,0,6,4,1,6,0,2,2.0,0.0,0,1.0,0.75,0,0,3.5,0,0.0,0,0.0,NON
org.apache.xerces.dom.DeferredDocumentImpl,2565,61,3,0,25,109,1294,16,22,48,0.89047619,0.952380952,1,0.602739726,0.226229508,2,10,40.70491803,12,2.5246,1,0.0031189083820662,NON
org.apache.html.dom.HTMLBRElementImpl,19,3,4,0,2,7,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,0,0.0,IL
org.apache.xerces.framework.XMLDTDScanner,7189,71,1,0,17,193,1133,1,16,23,0.924860853,1.0,15,0.0,0.147959184,0,0,99.16901408,3,1.0423,1,0.0001391014049241,NON
org.apache.xml.serialize.EncodingInfo,56,5,1,1,4,8,4,4,0,5,0.5,0.0,0,0.0,0.55,0,0,9.6,2,0.8,0,0.0,IL
org.apache.html.dom.HTMLQuoteElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.datatype.RecurringDurationDatatypeValidator,1392,18,2,0,7,54,141,1,6,9,0.891640867,0.1578947369999999,2,0.2,0.189814815,0,0,75.27777778,4,1.1667,0,0.0,NON
org.apache.xerces.validators.datatype.URIReferenceDatatypeValidator,374,7,2,0,8,29,17,1,7,6,0.75,1.0,2,0.444444444,0.333333333,0,0,51.28571429,1,0.7143,0,0.0,NON
org.apache.html.dom.HTMLDirectoryElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.html.dom.HTMLLinkElementImpl,105,19,4,0,2,24,171,0,2,19,2.0,0.0,0,0.8392857140000001,0.394736842,0,0,4.526315789,1,0.9474,0,0.0,IL
org.apache.html.dom.HTMLOptionElementImpl,195,15,4,0,3,38,105,1,2,15,2.0,0.0,0,0.87037037,0.32,1,1,12.0,6,1.7333,0,0.0,IL
org.apache.xerces.validators.schema.identity.Selector,34,5,1,0,8,8,0,4,6,5,0.5,1.0,2,0.0,0.4,0,0,5.4,1,0.8,1,0.0294117647058823,NON
org.apache.xerces.validators.schema.SchemaMessageProvider,296,5,1,0,3,14,0,2,1,4,1.203488372,0.046511628,0,0.0,0.5,0,0,49.6,9,2.2,1,0.0101351351351351,NON
org.apache.xerces.readers.MIME2Java,427,4,1,0,3,12,2,3,0,2,0.666666667,1.0,0,0.0,0.5,0,0,105.25,1,0.5,1,0.0070257611241217,NON
org.apache.xml.serialize.Encodings,183,3,1,0,3,9,1,1,2,0,1.166666667,0.333333333,1,0.0,0.5,0,0,59.0,4,1.3333,0,0.0,NON
org.apache.xerces.utils.NamespacesScope,240,6,1,0,10,11,0,8,2,6,0.133333333,1.0,1,0.0,0.5,0,0,38.5,4,1.1667,0,0.0,NON
org.apache.xerces.validators.datatype.StringDatatypeValidator,865,9,2,0,6,32,20,1,5,7,0.5,0.941176471,2,0.363636364,0.301587302,0,0,93.22222222,1,0.7778,0,0.0,NON
org.apache.html.dom.HTMLParagraphElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xml.serialize.BaseMarkupSerializer,1899,56,1,3,10,124,864,3,7,37,0.778181818,0.933333333,4,0.0,0.135989011,0,0,32.64285714,13,2.9464,1,0.0005265929436545,NON
org.apache.xml.serialize.HTMLdtd,709,19,1,0,1,50,149,1,0,11,0.967320261,0.941176471,0,0.0,0.233333333,0,0,35.42105263,15,2.8421,0,0.0,NON
org.apache.html.dom.HTMLTableSectionElementImpl,172,14,4,0,5,29,91,2,4,12,1.0,1.0,1,0.878504673,0.357142857,0,0,11.21428571,4,1.7857,0,0.0,IL
org.apache.xerces.validators.schema.identity.Field,42,6,1,0,13,9,0,9,7,6,0.666666667,1.0,3,0.0,0.333333333,0,0,5.5,1,0.8333,1,0.0238095238095238,NON
org.apache.xerces.parsers.DOMParser,5748,63,2,1,25,228,729,5,20,42,0.8741935479999999,0.9,6,0.678947368,0.152073733,2,18,89.76190476,6,1.6825,1,0.0012178148921363,NON
org.apache.xerces.dom.RangeExceptionImpl,6,1,5,0,1,2,0,1,0,1,2.0,0.0,0,1.0,1.0,0,0,5.0,0,0.0,0,0.0,IL
org.apache.html.dom.HTMLIFrameElementImpl,120,21,4,0,2,25,210,0,2,21,2.0,0.0,0,0.8245614040000001,0.523809524,0,0,4.714285714,1,0.9524,0,0.0,IL
org.apache.html.dom.HTMLScriptElementImpl,126,15,4,0,2,30,105,0,2,15,2.0,0.0,0,0.87037037,0.4,0,0,7.4,3,1.1333,0,0.0,IL
org.apache.xerces.validators.common.XMLContentModel,5,5,1,0,10,5,10,6,4,5,2.0,0.0,0,0.0,0.4,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xml.serialize.XMLSerializer,994,12,2,0,6,75,16,2,4,9,2.0,0.0,0,0.875,0.25,2,7,81.83333333,30,8.0833,1,0.0020120724346076,IL
org.apache.html.dom.HTMLFontElementImpl,43,7,4,0,2,11,21,0,2,7,2.0,0.0,0,0.94,0.571428571,0,0,5.1428571430000005,1,0.8571,0,0.0,IL
org.apache.xerces.validators.datatype.IDDatatypeValidator,195,10,2,0,8,31,33,1,7,7,0.857142857,0.7142857140000001,2,0.333333333,0.2444444439999999,0,0,17.8,4,1.1,1,0.0153846153846153,NON
org.apache.html.dom.HTMLTableCaptionElementImpl,17,3,4,0,3,6,3,1,2,3,2.0,0.0,0,0.979166667,0.666666667,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.common.DFAContentModel,1675,14,1,0,13,58,41,1,12,7,0.779264214,1.0,7,0.0,0.307692308,0,0,117.0,3,1.0,0,0.0,NON
org.apache.html.dom.HTMLLIElementImpl,31,5,4,0,2,10,10,0,2,5,2.0,0.0,0,0.959183673,0.45,1,2,5.2,1,0.8,0,0.0,IL
org.w3c.dom.ranges.RangeException,11,1,4,1,0,2,0,0,0,1,2.0,0.0,0,1.0,1.0,0,0,7.0,0,0.0,0,0.0,NON
org.apache.xerces.validators.schema.identity.XPathMatcher,498,13,1,2,17,43,30,7,10,10,0.8611111109999999,1.0,4,0.0,0.2,0,0,35.92307692,6,1.4615,1,0.002008032128514,NON
org.apache.html.dom.HTMLInputElementImpl,229,38,4,0,3,49,703,0,3,38,2.0,0.0,0,0.717557252,0.294736842,1,3,5.026315789,3,1.0789,0,0.0,IL
org.apache.html.dom.HTMLSelectElementImpl,183,23,4,0,5,41,253,0,5,23,0.954545455,1.0,1,0.810344828,0.246376812,1,1,6.913043478,3,1.2174,0,0.0,IL
org.apache.xerces.validators.schema.identity.XPath,454,5,1,2,18,37,2,8,11,4,0.791666667,1.0,2,0.0,0.36,0,0,88.6,1,0.8,1,0.0022026431718061,NON
org.apache.xerces.dom.NotationImpl,80,7,2,1,4,12,15,3,2,7,0.916666667,0.75,0,0.88,0.523809524,1,4,9.857142857,3,1.8571,0,0.0,NON
org.apache.xml.serialize.TextSerializer,261,16,2,0,5,35,112,1,4,10,2.0,0.0,0,0.7887323940000001,0.21875,1,10,15.3125,6,1.9375,0,0.0,NON
org.apache.html.dom.HTMLLabelElementImpl,52,5,4,0,3,10,10,0,3,5,2.0,0.0,0,0.959183673,0.6,0,0,9.4,3,1.6,0,0.0,IL
org.apache.html.dom.HTMLUListElementImpl,28,5,4,0,2,10,10,0,2,5,2.0,0.0,0,0.959183673,0.45,0,0,4.6,1,0.8,0,0.0,IL
org.apache.html.dom.HTMLHRElementImpl,52,9,4,0,2,15,36,0,2,9,2.0,0.0,0,0.921568627,0.416666667,0,0,4.777777778,1,0.8889,0,0.0,IL
org.apache.xerces.validators.datatype.UnionDatatypeValidator,480,11,2,0,11,37,11,2,9,8,0.5,1.0,2,0.333333333,0.284090909,0,0,41.81818182,4,1.0,0,0.0,NON
org.apache.html.dom.HTMLTableRowElementImpl,284,20,4,0,6,42,190,2,6,19,1.0,0.0,1,0.831858407,0.275,0,0,13.15,4,2.0,0,0.0,IL
org.apache.html.dom.HTMLTextAreaElementImpl,149,23,4,0,3,32,253,0,3,23,2.0,0.0,0,0.810344828,0.295652174,1,3,5.47826087,3,1.1304,0,0.0,IL
org.apache.xerces.validators.common.XMLValidator,6959,95,1,0,59,297,2425,13,55,55,0.944105337,0.967213115,41,0.0,0.085473684,0,0,70.96842105,17,1.6211,1,0.002730277338698,NON
org.apache.html.dom.HTMLPreElementImpl,20,3,4,0,2,8,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,5.666666667,1,0.6667,0,0.0,IL
org.apache.xerces.validators.common.MixedContentModel,464,8,1,0,7,12,20,1,6,8,0.333333333,1.0,2,0.0,0.4642857139999999,0,0,56.25,1,0.625,0,0.0,NON
org.apache.xerces.dom.events.EventImpl,87,11,1,1,3,13,35,3,0,11,0.9,0.1,2,0.0,0.393939394,0,0,6.0,1,0.9091,0,0.0,IL
org.apache.xerces.dom.DOMImplementationImpl,150,6,1,2,4,18,13,3,2,5,0.8,0.0,1,0.0,0.533333333,0,0,23.83333333,20,4.3333,1,0.02,NON
org.w3c.dom.traversal.DocumentTraversal,2,2,1,0,0,2,1,0,0,2,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.readers.DefaultEntityHandler,2272,62,1,0,24,130,753,10,17,39,0.850197852,0.8620689659999999,12,0.0,0.138248848,0,0,35.17741935,6,1.3226,0,0.0,NON
org.apache.xerces.validators.datatype.BinaryDatatypeValidator,380,7,2,0,7,27,15,1,6,6,0.75,1.0,1,0.444444444,0.333333333,1,1,52.14285714,1,0.7143,0,0.0,NON
org.apache.xerces.validators.common.GrammarResolverImpl,112,11,1,0,6,24,0,2,4,11,0.5,1.0,1,0.0,0.515151515,0,0,9.0,2,1.2727,0,0.0,NON
org.apache.html.dom.HTMLLegendElementImpl,52,5,4,0,2,10,10,0,2,5,2.0,0.0,0,0.959183673,0.6,0,0,9.4,3,1.6,0,0.0,IL
org.apache.xerces.validators.schema.identity.FieldActivator,3,3,1,0,6,3,3,3,3,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.common.GrammarResolver,9,9,1,0,10,9,36,8,2,9,2.0,0.0,0,0.0,0.5555555560000001,0,0,0.0,1,1.0,0,0.0,NON
org.apache.html.dom.HTMLMapElementImpl,32,4,4,0,3,8,6,0,3,4,1.0,1.0,1,0.969072165,0.583333333,0,0,6.75,2,1.0,0,0.0,IL
org.apache.html.dom.HTMLTableColElementImpl,103,13,4,0,2,21,78,0,2,13,2.0,0.0,0,0.886792453,0.403846154,0,0,6.923076922999999,3,1.2308,0,0.0,IL
org.apache.xerces.validators.datatype.NOTATIONDatatypeValidator,49,8,2,0,5,15,26,1,4,7,0.7142857140000001,1.0,1,0.4,0.285714286,0,0,5.0,1,0.75,0,0.0,NON
org.apache.html.dom.HTMLMenuElementImpl,17,3,4,0,2,6,3,0,2,3,2.0,0.0,0,0.979166667,0.5,0,0,4.666666667,1,0.6667,0,0.0,IL
org.apache.html.dom.HTMLFormElementImpl,102,18,4,0,3,25,153,0,3,18,0.941176471,1.0,1,0.846846847,0.481481481,0,0,4.6111111110000005,2,1.0,0,0.0,IL
org.apache.xerces.validators.datatype.FloatDatatypeValidator,959,12,2,0,9,38,52,3,6,7,0.690909091,1.0,3,0.285714286,0.194444444,0,0,77.66666667,1,0.8333,0,0.0,NON
org.apache.html.dom.HTMLFrameSetElementImpl,28,5,4,0,2,8,10,0,2,5,2.0,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8,0,0.0,IL
org.apache.html.dom.CollectionIndex,28,4,1,0,1,5,0,1,0,0,0.0,1.0,0,0.0,0.625,0,0,5.75,2,1.0,0,0.0,NAN
org.apache.xerces.jaxp.SAXParserImpl,112,8,2,0,2,17,8,1,1,6,0.666666667,1.0,1,0.76,0.375,1,1,12.625,1,0.75,1,0.0267857142857142,NON
javax.xml.parsers.SAXParserFactory,275,12,1,1,0,39,52,0,0,8,0.8787878790000001,0.833333333,0,0.0,0.454545455,0,0,21.41666667,10,1.6667,0,0.0,NON
org.w3c.dom.ranges.DocumentRange,1,1,1,0,0,1,0,0,0,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,NON
org.apache.xerces.validators.datatype.TimeDurationDatatypeValidator,1924,18,2,0,7,58,141,1,6,10,0.845588235,1.0,2,0.2,0.189814815,0,0,105.0,4,1.1667,0,0.0,NON
org.apache.xerces.utils.URI,2006,42,1,0,3,66,375,2,1,29,0.780487805,1.0,0,0.0,0.226480836,0,0,46.47619048,33,3.1429,1,0.0019940179461615,NON
org.apache.html.dom.HTMLOptGroupElementImpl,30,5,4,0,2,11,10,0,2,5,2.0,0.0,0,0.959183673,0.45,0,0,5.0,1,0.8,0,0.0,IL
org.apache.xerces.dom.NodeIteratorImpl,380,13,1,0,1,24,8,1,1,9,0.6875,1.0,4,0.0,0.307692308,0,0,27.61538462,11,4.2308,0,0.0,IL
org.apache.xerces.validators.datatype.DatatypeValidatorFactoryImpl,875,10,1,0,24,47,19,4,20,7,0.7333333329999999,0.6,0,0.0,0.25,0,0,86.0,4,2.0,1,0.0057142857142857,NON
org.apache.xerces.readers.AbstractCharReader,3041,33,2,2,16,70,0,3,14,20,0.565625,1.0,2,0.184210526,0.174479167,1,3,90.84848485,2,1.0606,0,0.0,NON
org.w3c.dom.traversal.NodeIterator,7,7,1,0,0,7,21,0,0,7,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0,IL
org.apache.html.dom.HTMLTableCellElementImpl,259,31,4,0,3,46,465,1,2,31,2.0,0.0,0,0.7580645159999999,0.309677419,0,0,7.35483871,6,1.3871,0,0.0,IL
org.apache.xerces.validators.schema.identity.ValueStore,1,1,1,0,4,1,0,4,1,1,2.0,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,1.0,NON
org.apache.xerces.dom.AttrImpl,1440,38,2,2,16,102,417,9,10,24,0.817567568,0.75,1,0.556962025,0.174174174,1,16,36.78947368,16,2.7368,0,0.0,NON
org.apache.xerces.readers.UTF8Reader,7463,41,2,0,13,75,0,1,12,22,0.608823529,0.882352941,3,0.152173913,0.170833333,1,4,180.6097561,2,1.0488,0,0.0,NON
org.apache.xerces.validators.schema.identity.Key,16,3,2,0,5,4,1,4,1,3,0.5,1.0,0,0.8,0.666666667,0,0,4.0,1,0.6667,0,0.0,NON
org.apache.html.dom.HTMLAppletElementImpl,127,23,4,0,2,26,253,0,2,23,2.0,0.0,0,0.810344828,0.52173913,0,0,4.52173913,1,0.9565,0,0.0,IL
org.apache.xerces.validators.datatype.QNameDatatypeValidator,721,9,2,0,6,34,30,1,5,7,0.669117647,1.0,2,0.363636364,0.285714286,0,0,77.22222222,1,0.7778,1,0.001386962552011,NON
