model,dataset,file,BB,CB,BB,BC
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-1.3.csv_commons-io-1.4.csv,7,0,14,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-1.4.csv_commons-io-2.0.csv,0,0,5,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-2.0.csv_commons-io-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-2.1.csv_commons-io-2.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-2.2.csv_commons-io-2.3.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-2.3.csv_commons-io-2.4.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-io-2.4.csv_commons-io-2.5.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jcs-1.0.csv_commons-jcs-1.1.csv,0,0,39,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jcs-1.1.csv_commons-jcs-1.3.csv,1,43,4,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jcs-1.3.csv_commons-jcs-2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jcs-2.0.csv_commons-jcs-2.1.csv,2,0,60,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jcs-2.1.csv_commons-jcs-2.2.csv,2,0,58,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jexl-2.0.csv_commons-jexl-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-jexl-2.1.csv_commons-jexl-3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.0.csv_commons-lang-2.1.csv,0,0,15,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.1.csv_commons-lang-2.2.csv,0,0,17,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.2.csv_commons-lang-2.3.csv,5,0,45,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.3.csv_commons-lang-2.4.csv,3,0,40,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.4.csv_commons-lang-2.5.csv,0,0,39,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.5.csv_commons-lang-2.6.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-2.6.csv_commons-lang-3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.0.csv_commons-lang-3.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.1.csv_commons-lang-3.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.2.csv_commons-lang-3.3.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.3.csv_commons-lang-3.4.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.4.csv_commons-lang-3.5.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.5.csv_commons-lang-3.6.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-lang-3.6.csv_commons-lang-3.7.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-1.0.csv_commons-math-1.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-1.1.csv_commons-math-1.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-1.2.csv_commons-math-2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-2.0.csv_commons-math-2.1.csv,2,0,161,5
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-2.1.csv_commons-math-2.2.csv,2,0,153,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-2.2.csv_commons-math-3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.0.csv_commons-math-3.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.1.csv_commons-math-3.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.2.csv_commons-math-3.3.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.3.csv_commons-math-3.4.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.4.csv_commons-math-3.5.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-math-3.5.csv_commons-math-3.6.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-1.0.csv_commons-net-1.1.csv,5,2,69,1
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-1.1.csv_commons-net-1.2.csv,4,0,82,4
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-1.2.csv_commons-net-1.3.csv,2,0,85,5
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-1.3.csv_commons-net-1.4.csv,10,0,95,3
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-1.4.csv_commons-net-2.0.csv,0,0,39,2
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-2.0.csv_commons-net-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-2.1.csv_commons-net-2.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-2.2.csv_commons-net-3.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.0.csv_commons-net-3.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.1.csv_commons-net-3.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.2.csv_commons-net-3.3.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.3.csv_commons-net-3.4.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.4.csv_commons-net-3.5.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-net-3.5.csv_commons-net-3.6.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-scxml-0.5.csv_commons-scxml-0.6.csv,2,0,14,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-scxml-0.6.csv_commons-scxml-0.7.csv,3,0,43,4
autogluon_best_f1,IND-JLMIV+R-2020,commons-scxml-0.7.csv_commons-scxml-0.8.csv,13,0,62,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-scxml-0.8.csv_commons-scxml-0.9.csv,1,0,57,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-validator-1.1.0.csv_commons-validator-1.2.0.csv,0,0,2,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-validator-1.2.0.csv_commons-validator-1.3.0.csv,3,0,6,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-validator-1.3.0.csv_commons-validator-1.4.0.csv,0,0,2,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-validator-1.4.0.csv_commons-validator-1.5.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-validator-1.5.0.csv_commons-validator-1.6.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-vfs-1.0.csv_commons-vfs-2.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-vfs-2.0.csv_commons-vfs-2.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,commons-vfs-2.1.csv_commons-vfs-2.2.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.1.csv_deltaspike-0.2.csv,0,0,28,0
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.2.csv_deltaspike-0.3.csv,4,0,63,1
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.3.csv_deltaspike-0.4.csv,5,0,110,3
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.4.csv_deltaspike-0.5.csv,15,1,279,1
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.5.csv_deltaspike-0.6.csv,5,9,362,3
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.6.csv_deltaspike-0.7.csv,12,6,519,12
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-0.7.csv_deltaspike-1.0.0.csv,15,11,514,8
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.0.0.csv_deltaspike-1.1.0.csv,10,12,510,7
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.1.0.csv_deltaspike-1.2.0.csv,9,10,577,10
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.2.0.csv_deltaspike-1.3.0.csv,8,0,554,5
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.3.0.csv_deltaspike-1.4.0.csv,9,7,553,5
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.4.0.csv_deltaspike-1.5.0.csv,3,0,574,12
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.5.0.csv_deltaspike-1.6.0.csv,5,0,567,4
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.6.0.csv_deltaspike-1.7.0.csv,4,0,636,5
autogluon_best_f1,IND-JLMIV+R-2020,deltaspike-1.7.0.csv_deltaspike-1.8.0.csv,0,0,662,5
autogluon_best_f1,IND-JLMIV+R-2020,eagle-0.3.0.csv_eagle-0.4.0.csv,2,7,555,0
autogluon_best_f1,IND-JLMIV+R-2020,eagle-0.4.0.csv_eagle-0.5.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,giraph-1.0.0.csv_giraph-1.1.0.csv,0,2,132,0
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.1.csv_gora-0.2.csv,1,0,52,2
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.2.csv_gora-0.3.csv,0,1,45,0
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.3.csv_gora-0.4.csv,1,0,65,0
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.4.csv_gora-0.5.csv,4,1,123,1
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.5.csv_gora-0.6.csv,3,0,143,5
autogluon_best_f1,IND-JLMIV+R-2020,gora-0.6.csv_gora-0.7.csv,0,0,66,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-1.4.0.csv_jspwiki-1.5.0.csv,0,0,8,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-1.5.0.csv_jspwiki-1.6.0.csv,0,0,6,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-1.6.0.csv_jspwiki-1.7.0.csv,0,0,4,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-1.7.0.csv_jspwiki-1.8.0.csv,0,0,18,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-1.8.0.csv_jspwiki-2.0.36.csv,0,0,11,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.0.36.csv_jspwiki-2.10.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.10.0.csv_jspwiki-2.2.19.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.2.19.csv_jspwiki-2.4.56.csv,0,0,24,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.4.56.csv_jspwiki-2.6.0.csv,0,0,118,1
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.6.0.csv_jspwiki-2.8.0.csv,0,0,147,0
autogluon_best_f1,IND-JLMIV+R-2020,jspwiki-2.8.0.csv_jspwiki-2.9.0.csv,0,0,1,0
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.10.0.csv_knox-0.11.0.csv,8,2,551,9
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.11.0.csv_knox-0.12.0.csv,7,8,527,5
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.12.0.csv_knox-0.13.0.csv,2,2,538,2
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.13.0.csv_knox-0.14.0.csv,1,0,582,1
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.14.0.csv_knox-0.3.0.csv,0,0,187,0
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.3.0.csv_knox-0.4.0.csv,23,0,301,1
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.4.0.csv_knox-0.5.0.csv,4,0,358,16
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.5.0.csv_knox-0.6.0.csv,33,0,379,18
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.6.0.csv_knox-0.7.0.csv,3,0,406,9
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.7.0.csv_knox-0.8.0.csv,27,0,534,0
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.8.0.csv_knox-0.9.0.csv,7,0,503,7
autogluon_best_f1,IND-JLMIV+R-2020,knox-0.9.0.csv_knox-1.0.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-0.6.1.csv_kylin-0.7.1.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-0.7.1.csv_kylin-1.0.0.csv,0,0,39,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.0.0.csv_kylin-1.1.0.csv,1,3,120,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.1.0.csv_kylin-1.2.0.csv,1,0,130,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.2.0.csv_kylin-1.3.0.csv,0,0,104,0
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.3.0.csv_kylin-1.5.0.csv,0,0,62,3
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.5.0.csv_kylin-1.6.0.csv,4,0,206,2
autogluon_best_f1,IND-JLMIV+R-2020,kylin-1.6.0.csv_kylin-2.0.0.csv,1,1,311,3
autogluon_best_f1,IND-JLMIV+R-2020,kylin-2.0.0.csv_kylin-2.1.0.csv,0,0,556,24
autogluon_best_f1,IND-JLMIV+R-2020,kylin-2.1.0.csv_kylin-2.2.0.csv,5,2,596,16
autogluon_best_f1,IND-JLMIV+R-2020,lens-2.6.0.csv_lens-2.7.0.csv,0,0,89,0
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.1.csv_mahout-0.10.0.csv,0,0,0,0
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.10.0.csv_mahout-0.11.0.csv,2,2,765,1
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.11.0.csv_mahout-0.12.0.csv,0,4,738,1
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.12.0.csv_mahout-0.13.0.csv,0,0,753,0
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.2.csv_mahout-0.3.csv,1,0,73,1
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.3.csv_mahout-0.4.csv,0,0,143,7
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.4.csv_mahout-0.5.csv,1,1,261,12
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.5.csv_mahout-0.6.csv,1,0,278,0
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.6.csv_mahout-0.7.csv,12,2,599,10
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.7.csv_mahout-0.8.csv,1,0,349,0
autogluon_best_f1,IND-JLMIV+R-2020,mahout-0.8.csv_mahout-0.9.csv,0,0,627,8
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.1.csv_manifoldcf-0.2.csv,4,3,344,12
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.2.csv_manifoldcf-0.3.csv,4,0,267,4
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.3.csv_manifoldcf-0.4.csv,8,4,388,8
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.4.csv_manifoldcf-0.5.csv,9,0,398,6
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.5.csv_manifoldcf-0.6.csv,5,0,420,16
autogluon_best_f1,IND-JLMIV+R-2020,manifoldcf-0.6.csv_manifoldcf-1.0.csv,33,3,488,10
